Open,Volume,date_FE,AAPL,AMZN,GOOGL,JP-MRGN,M-SOFT,NTFLX,NVDA,TSLA,VISA,Date,Company,Predicted_Close
103.790001,9871500,375,0,0,0,1,0,0,0,0,0,2/4/19,JP-MRGN,103.772195
102.900002,10754100,382,0,0,0,1,0,0,0,0,0,2/13/19,JP-MRGN,102.8841871
105.18,9968800,391,0,0,0,1,0,0,0,0,0,2/27/19,JP-MRGN,105.1653994
104.919998,12466300,394,0,0,0,1,0,0,0,0,0,3/4/19,JP-MRGN,104.9008963
103.860001,9070800,396,0,0,0,1,0,0,0,0,0,3/6/19,JP-MRGN,103.8517307
104.5,10926500,402,0,0,0,1,0,0,0,0,0,3/14/19,JP-MRGN,104.4883099
104.599998,10295400,415,0,0,0,1,0,0,0,0,0,4/2/19,JP-MRGN,104.5944402
104.550003,11952100,417,0,0,0,1,0,0,0,0,0,4/4/19,JP-MRGN,104.5412483
105.110001,8056300,419,0,0,0,1,0,0,0,0,0,4/8/19,JP-MRGN,105.110451
105.080002,9092200,420,0,0,0,1,0,0,0,0,0,4/9/19,JP-MRGN,105.0783588
114.529999,12501900,427,0,0,0,1,0,0,0,0,0,4/18/19,JP-MRGN,114.5060859
112.830002,7975900,428,0,0,0,1,0,0,0,0,0,4/22/19,JP-MRGN,112.8204177
113.010002,9311800,431,0,0,0,1,0,0,0,0,0,4/25/19,JP-MRGN,112.9979633
115.720001,10412900,435,0,0,0,1,0,0,0,0,0,5/1/19,JP-MRGN,115.7020089
111.139999,12205900,441,0,0,0,1,0,0,0,0,0,5/9/19,JP-MRGN,111.1278919
111.75,13189000,442,0,0,0,1,0,0,0,0,0,5/10/19,JP-MRGN,111.7348056
109.519997,8537300,452,0,0,0,1,0,0,0,0,0,5/24/19,JP-MRGN,109.5236725
109.860001,8340500,459,0,0,0,1,0,0,0,0,0,6/5/19,JP-MRGN,109.8661298
110.699997,9670500,464,0,0,0,1,0,0,0,0,0,6/12/19,JP-MRGN,110.7032633
110.190002,27089500,471,0,0,0,1,0,0,0,0,0,6/21/19,JP-MRGN,110.1544737
109.279999,13039600,472,0,0,0,1,0,0,0,0,0,6/24/19,JP-MRGN,109.2805206
111.040001,21634700,476,0,0,0,1,0,0,0,0,0,6/28/19,JP-MRGN,111.0180535
113.339996,6849400,479,0,0,0,1,0,0,0,0,0,7/3/19,JP-MRGN,113.350989
112.279999,8947300,482,0,0,0,1,0,0,0,0,0,7/9/19,JP-MRGN,112.2888631
112.910004,9061100,491,0,0,0,1,0,0,0,0,0,7/22/19,JP-MRGN,112.9207942
115.769997,12800400,495,0,0,0,1,0,0,0,0,0,7/26/19,JP-MRGN,115.7681702
109.349998,9980800,505,0,0,0,1,0,0,0,0,0,8/9/19,JP-MRGN,109.3699428
107.949997,12124700,507,0,0,0,1,0,0,0,0,0,8/13/19,JP-MRGN,107.96793
108.370003,9343400,514,0,0,0,1,0,0,0,0,0,8/22/19,JP-MRGN,108.3965193
105.080002,10585500,518,0,0,0,1,0,0,0,0,0,8/28/19,JP-MRGN,105.1107431
108.980003,9868800,521,0,0,0,1,0,0,0,0,0,9/3/19,JP-MRGN,109.006747
113.709999,13985100,525,0,0,0,1,0,0,0,0,0,9/9/19,JP-MRGN,113.7199325
116.889999,9919200,527,0,0,0,1,0,0,0,0,0,9/11/19,JP-MRGN,116.904956
119,16257200,529,0,0,0,1,0,0,0,0,0,9/13/19,JP-MRGN,118.9966154
119.739998,21862800,534,0,0,0,1,0,0,0,0,0,9/20/19,JP-MRGN,119.7235531
117.959999,10207800,539,0,0,0,1,0,0,0,0,0,9/27/19,JP-MRGN,117.9767888
118.400002,11250300,541,0,0,0,1,0,0,0,0,0,10/1/19,JP-MRGN,118.4142259
113.059998,10806300,546,0,0,0,1,0,0,0,0,0,10/8/19,JP-MRGN,113.0864993
118.849998,23379000,551,0,0,0,1,0,0,0,0,0,10/15/19,JP-MRGN,118.8376813
120,10417400,554,0,0,0,1,0,0,0,0,0,10/18/19,JP-MRGN,120.0182157
122.050003,12714600,555,0,0,0,1,0,0,0,0,0,10/21/19,JP-MRGN,122.0594184
125,9055700,559,0,0,0,1,0,0,0,0,0,10/25/19,JP-MRGN,125.0145896
126.059998,9797300,561,0,0,0,1,0,0,0,0,0,10/29/19,JP-MRGN,126.0716646
126.050003,8513700,562,0,0,0,1,0,0,0,0,0,10/30/19,JP-MRGN,126.0651687
125.489998,11589100,563,0,0,0,1,0,0,0,0,0,10/31/19,JP-MRGN,125.4990517
126.199997,11682600,564,0,0,0,1,0,0,0,0,0,11/1/19,JP-MRGN,126.2079464
129.080002,9159900,565,0,0,0,1,0,0,0,0,0,11/4/19,JP-MRGN,129.0893895
128.690002,11231100,567,0,0,0,1,0,0,0,0,0,11/6/19,JP-MRGN,128.6957831
130.429993,13528900,568,0,0,0,1,0,0,0,0,0,11/7/19,JP-MRGN,130.4275159
129.600006,8679000,570,0,0,0,1,0,0,0,0,0,11/11/19,JP-MRGN,129.6114855
127.720001,8483400,573,0,0,0,1,0,0,0,0,0,11/14/19,JP-MRGN,127.7363537
130.300003,11782800,577,0,0,0,1,0,0,0,0,0,11/20/19,JP-MRGN,130.3052969
130,7705500,578,0,0,0,1,0,0,0,0,0,11/21/19,JP-MRGN,130.0160794
130.149994,8167900,579,0,0,0,1,0,0,0,0,0,11/22/19,JP-MRGN,130.165056
129.770004,10361300,585,0,0,0,1,0,0,0,0,0,12/3/19,JP-MRGN,129.7826153
134.289993,9011900,591,0,0,0,1,0,0,0,0,0,12/11/19,JP-MRGN,134.3001574
137.949997,10592100,593,0,0,0,1,0,0,0,0,0,12/13/19,JP-MRGN,137.9506451
137.889999,6770900,601,0,0,0,1,0,0,0,0,0,12/26/19,JP-MRGN,137.9029624
136.559998,10259000,607,0,0,0,1,0,0,0,0,0,1/6/20,JP-MRGN,136.5690353
137.279999,10531300,608,0,0,0,1,0,0,0,0,0,1/7/20,JP-MRGN,137.2874807
137.210007,10190900,611,0,0,0,1,0,0,0,0,0,1/10/20,JP-MRGN,137.2195395
137.940002,24906000,613,0,0,0,1,0,0,0,0,0,1/14/20,JP-MRGN,137.9132886
137.240005,7549100,618,0,0,0,1,0,0,0,0,0,1/22/20,JP-MRGN,137.2584662
135.710007,9345700,619,0,0,0,1,0,0,0,0,0,1/23/20,JP-MRGN,135.7271595
136.369995,15166400,620,0,0,0,1,0,0,0,0,0,1/24/20,JP-MRGN,136.372236
130.270004,12860500,621,0,0,0,1,0,0,0,0,0,1/27/20,JP-MRGN,130.2889024
132.690002,9048900,624,0,0,0,1,0,0,0,0,0,1/30/20,JP-MRGN,132.7150069
132.660004,10021100,626,0,0,0,1,0,0,0,0,0,2/3/20,JP-MRGN,132.6834377
135.550003,9157100,627,0,0,0,1,0,0,0,0,0,2/4/20,JP-MRGN,135.570833
138.240005,8992300,629,0,0,0,1,0,0,0,0,0,2/6/20,JP-MRGN,138.2572531
136.729996,6379800,630,0,0,0,1,0,0,0,0,0,2/7/20,JP-MRGN,136.7565974
138.600006,7958000,633,0,0,0,1,0,0,0,0,0,2/12/20,JP-MRGN,138.6206019
137.339996,8996400,636,0,0,0,1,0,0,0,0,0,2/18/20,JP-MRGN,137.3613842
136.910004,7071200,637,0,0,0,1,0,0,0,0,0,2/19/20,JP-MRGN,136.9371843
137.169998,7422800,638,0,0,0,1,0,0,0,0,0,2/20/20,JP-MRGN,137.1962368
131.440002,13618400,640,0,0,0,1,0,0,0,0,0,2/24/20,JP-MRGN,131.4619912
131,20797200,641,0,0,0,1,0,0,0,0,0,2/25/20,JP-MRGN,131.0057114
117.519997,45931400,644,0,0,0,1,0,0,0,0,0,2/28/20,JP-MRGN,117.4894674
116.629997,27355400,645,0,0,0,1,0,0,0,0,0,3/2/20,JP-MRGN,116.6464631
120.970001,32547700,646,0,0,0,1,0,0,0,0,0,3/3/20,JP-MRGN,120.9666277
85.199997,38589700,655,0,0,0,1,0,0,0,0,0,3/16/20,JP-MRGN,85.2479902
89.239998,38111700,662,0,0,0,1,0,0,0,0,0,3/25/20,JP-MRGN,89.28463918
93.190002,30041500,664,0,0,0,1,0,0,0,0,0,3/27/20,JP-MRGN,93.24803153
90.650002,21656900,665,0,0,0,1,0,0,0,0,0,3/30/20,JP-MRGN,90.73319468
83.510002,24018000,668,0,0,0,1,0,0,0,0,0,4/2/20,JP-MRGN,83.60108774
96.919998,42055900,673,0,0,0,1,0,0,0,0,0,4/9/20,JP-MRGN,96.94564571
103.110001,26911900,674,0,0,0,1,0,0,0,0,0,4/13/20,JP-MRGN,103.161904
101.019997,46151300,675,0,0,0,1,0,0,0,0,0,4/14/20,JP-MRGN,101.0292547
88.620003,23035000,680,0,0,0,1,0,0,0,0,0,4/21/20,JP-MRGN,88.70892291
90.639999,15809200,683,0,0,0,1,0,0,0,0,0,4/24/20,JP-MRGN,90.7440101
97.809998,20238900,685,0,0,0,1,0,0,0,0,0,4/28/20,JP-MRGN,97.89142517
92.019997,15725900,689,0,0,0,1,0,0,0,0,0,5/4/20,JP-MRGN,92.12399506
93.650002,18064100,690,0,0,0,1,0,0,0,0,0,5/5/20,JP-MRGN,93.74583668
92.800003,20487800,693,0,0,0,1,0,0,0,0,0,5/8/20,JP-MRGN,92.8925501
90.709999,20552400,701,0,0,0,1,0,0,0,0,0,5/20/20,JP-MRGN,90.80899332
90.010002,13557900,703,0,0,0,1,0,0,0,0,0,5/22/20,JP-MRGN,90.1279281
102.940002,24713900,706,0,0,0,1,0,0,0,0,0,5/28/20,JP-MRGN,103.0092932
100.279999,21195000,709,0,0,0,1,0,0,0,0,0,6/2/20,JP-MRGN,100.3635938
